YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,2,2,2.427272727,1.081805946,2,87300,1568,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,79600,1344,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,1,55800,1280,3,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,83400,1456,3,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,84400,1485,1,2,3,3,1
2014,1,3,2,2.427272727,1.081805946,2,69800,1000,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,76000,1568,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,53600,1568,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,116800,1904,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,41400,1000,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,118900,1920,3,2,3,1,9
2014,1,3,1,34.77857143,0.927452179,2,24500,1216,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,3,9,9,9,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,69500,1680,3,1,3,2,1
2014,1,2,2,2.427272727,1.081805946,2,78000,1296,3,2,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,76900,1372,1,2,1,2,1
2014,1,3,1,34.77857143,0.927452179,1,44000,1280,3,9,9,9,9
2014,1,1,1,4.816666667,0.927452179,1,46200,1216,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,79600,1344,3,2,3,3,1
2014,1,1,1,4.816666667,0.927452179,2,46600,1064,3,2,3,3,1
2014,1,4,1,11.56842105,0.927452179,2,50300,1120,3,2,3,2,1
2014,1,2,1,4.854545455,0.927452179,2,53600,1216,3,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,33900,700,1,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,1,85000,1248,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,95900,1092,1,2,1,3,1
2014,1,5,3,3.856140351,1.081805946,2,160000,2560,3,2,3,1,9
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,1,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,108000,1568,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,50000,1344,3,1,3,1,9
2014,1,3,2,17.38928571,1.081805946,2,95700,1904,3,2,3,2,1
